Term,Match,Completeness,Ontology,IRI
ERB-38 Immunotoxin,ERB-38 IMMUNOTOXIN,Complete,ALL,http://purl.bioontology.org/ontology/PDQ/CDR0000042875
ERB-38 Immunotoxin,ERB-38 IMMUNOTOXIN,Complete,ALL,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2453
ERB-38 Immunotoxin,ERB-38 IMMUNOTOXIN,Complete,ALL,http://purl.obolibrary.org/obo/NCIT_C2453
homohalichondrin b,HOMOHALICHONDRIN B,Complete,ALL,http://purl.bioontology.org/ontology/MESH/C070520
homohalichondrin b,HOMOHALICHONDRIN B,Complete,ALL,http://phenomebrowser.net/ontologies/mesh/mesh.owl#C070520
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://purl.bioontology.org/ontology/NDFRT/N0000175347
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://purl.bioontology.org/ontology/SNOMEDCT/421471009
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://purl.bioontology.org/ontology/RXNORM/342369
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://purl.bioontology.org/ontology/NDDF/011171
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://id.nlm.nih.gov/mesh/D000077269
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://purl.bioontology.org/ontology/NDFRT/N0000171749
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://phenomebrowser.net/ontologies/mesh/mesh.owl#C467567
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://purl.obolibrary.org/obo/NCIT_C2668
Lenalidomide,LENALIDOMIDE,Complete,ALL,https://go.drugbank.com/drugs/DB00480
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://purl.obolibrary.org/obo/DRON_00018841
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://purl.bioontology.org/ontology/ATC/L04AX04
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2668
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000171749
Lenalidomide,LENALIDOMIDE,Complete,ALL,http://purl.bioontology.org/ontology/MESH/D000077269
